"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","891","User can login successfully","Chromium","2026-06-21","passed","2026-06-21","Login Feature","login.spec.ts","",""
"","87","Validate GET users API","WebKit","2026-06-21","passed","2026-06-21","API Tests - ReqRes","api.spec.ts","",""
"","1200","get started link","Chromium","2026-06-21","passed","2026-06-21","","example.spec.ts","",""
"","1665","User can login successfully","WebKit","2026-06-21","passed","2026-06-21","Login Feature","login.spec.ts","",""
"","1007","User can login successfully","Firefox","2026-06-21","passed","2026-06-21","Login Feature","login.spec.ts","",""
"","86","Validate GET users API","Firefox","2026-06-21","passed","2026-06-21","API Tests - ReqRes","api.spec.ts","",""
"","2392","has title","Firefox","2026-06-21","passed","2026-06-21","","example.spec.ts","",""
"","1128","has title","Chromium","2026-06-21","passed","2026-06-21","","example.spec.ts","",""
"","7684","get started link","WebKit","2026-06-21","passed","2026-06-21","","example.spec.ts","",""
"","2770","get started link","Firefox","2026-06-21","passed","2026-06-21","","example.spec.ts","",""
"","6386","has title","WebKit","2026-06-21","passed","2026-06-21","","example.spec.ts","",""
"","275","Validate GET users API","Chromium","2026-06-21","passed","2026-06-21","API Tests - ReqRes","api.spec.ts","",""
