"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2242","has title","Firefox","2026-03-24","passed","2026-03-24","","example.spec.ts","",""
"","1713","User can login successfully","WebKit","2026-03-24","passed","2026-03-24","Login Feature","login.spec.ts","",""
"","998","User can login successfully","Firefox","2026-03-24","passed","2026-03-24","Login Feature","login.spec.ts","",""
"","2610","get started link","Firefox","2026-03-24","passed","2026-03-24","","example.spec.ts","",""
"","313","Validate GET users API","Chromium","2026-03-24","passed","2026-03-24","API Tests - ReqRes","api.spec.ts","",""
"","6805","has title","WebKit","2026-03-24","passed","2026-03-24","","example.spec.ts","",""
"","802","has title","Chromium","2026-03-24","passed","2026-03-24","","example.spec.ts","",""
"","7591","get started link","WebKit","2026-03-24","passed","2026-03-24","","example.spec.ts","",""
"","758","User can login successfully","Chromium","2026-03-24","passed","2026-03-24","Login Feature","login.spec.ts","",""
"","164","Validate GET users API","Firefox","2026-03-24","passed","2026-03-24","API Tests - ReqRes","api.spec.ts","",""
"","1057","get started link","Chromium","2026-03-24","passed","2026-03-24","","example.spec.ts","",""
"","168","Validate GET users API","WebKit","2026-03-24","passed","2026-03-24","API Tests - ReqRes","api.spec.ts","",""
